"","Year.Reported.to.CDP","Account.Number","Organization","City","Country","CDP.Region","First.Time.Discloser","Population","City.Location","Sustainability.Targets.Master.Planning","Risk.Assessment.Actions","Nb.Hazards.Type","Hazards.Exposure.Level","Adaptation.Challenges.Health","Adaptation.Challenges.Economic","Adaptation.Challenges.Environment","Adaptation.Challenges.Infrastructure","Adaptation.Challenges.Social","Adaptation.Challenges.Governance","Adaptation.Challenges.Education","Adaptation.Challenges.Level","Risk.Health.System","Nb.Adaptation.Actions","Adaptation.Plan","City.Wide.Emissions.Inventory","GHG.Emissions.Primary.protocol","GHG.Emissions.Evolution","GHG.Emissions.Consumption","GHG.Emissions.External.Verification","GHG.Emissions.Reductions.Targets","Emissions.Reductions.Mitigation.Planning","Opportunities.Collaboration","Renewable.Energy.Target","Electricity.Source.Biomass","Electricity.Source.Coal","Electricity.Source.Gas","Electricity.Source.Geothermal","Electricity.Source.Hydro","Electricity.Source.Nuclear","Electricity.Source.Oil","Electricity.Source.Other","Electricity.Source.Solar","Electricity.Source.Wind","Electricity.Source.Renewable","Energy.Efficnecy.Target","Transport.Mode.Passenger.Public","Transport.Mode.Passenger.Cycling","Transport.Mode.Passenger.Other","Transport.Mode.Passenger.Private.motorized","Transport.Mode.Passenger.Walking","Low.Zero.Emission.Zone","Food.Consumption.Policies","Potable.Water.Supply.Percent","Water.Resource.Management.strategy","lat","long","Country.Code.3"
"132",2020,50665,"Município de Ovar","Ovar","Portugal","Europe","No",55398,"POINT (-8.59723 40.8901)","Do not know","In progress",8,70,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know",3,"Do not know","In progress",NA,NA,NA,NA,"No target","Do not know","Yes","Do not know",NA,23,19,NA,26,NA,32,NA,NA,NA,NA,"Do not know",NA,NA,NA,NA,NA,"No","Do not know",NA,"Not intending to undertake",40.8901,-8.59723,"PRT"
"133",2020,840371,"Falkoping Kommun","Falköping","Sweden","Europe","No",33334,"","Yes","Yes",6,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Intending to undertake in the next 2 years","Yes","Regional or country specific methodology","Stayed the same","Intending to undertake in the next 2 years","Do not know","Base year emissions (absolute) target","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes",100,"In progress",58.1695083,13.5542412,"SWE"
"134",2020,35274,"City of Portland, ME","Portland, ME","United States of America","North America","No",66937,"POINT (-70.2553 43.6615)","Yes","Yes",7,130,0,1,0,0,0,0,0,1,"Yes",3,"In progress","Yes","GPC",NA,NA,"Intending to undertake in the next 2 years","Fixed level target","In progress","Yes","Yes",2.5,0.05,48.5,0,9,30.5,0.02,4.13,1.7,3.6,14.3,"In progress",NA,NA,NA,NA,NA,"No","No",100,"Yes",43.6615,-70.2553,"USA"
"135",2020,54510,"Umeå municipality","Umeå","Sweden","Europe","No",127119,"POINT (20.263 63.8258)","Yes","Yes",3,24,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know",3,"Yes","Yes","City specific methodology","Stayed the same","Yes","Yes","Baseline scenario (business as usual) target","Yes","Yes","Yes",8,NA,NA,NA,89,NA,NA,NA,NA,3,NA,"Yes",7,27,1,50,15,"No","Yes",100,"Yes",63.8258,20.263,"SWE"
"136",2020,54510,"Umeå municipality","Umeå","Sweden","Europe","No",127119,"POINT (20.263 63.8258)","Yes","Yes",3,24,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know",3,"Yes","Yes","City specific methodology","Stayed the same","Yes","Yes","Base year emissions (absolute) target","Yes","Yes","Yes",8,NA,NA,NA,89,NA,NA,NA,NA,3,NA,"Yes",7,27,1,50,15,"No","Yes",100,"Yes",63.8258,20.263,"SWE"
"137",2020,35860,"City of Dallas","Dallas","United States of America","North America","No",1345047,"POINT (-96.8004 32.7801)","Yes","Yes",5,56,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",2,"Yes","Yes","GPC","Decreased","Not intending to undertake","Yes","Fixed level target","Yes","Yes","Yes",0.1,20,47,0,0.1,11,0.1,0.5,1.2,20,21.3,"Yes",NA,NA,NA,NA,NA,"No","No",100,"Yes",32.7801,-96.8004,"USA"
"138",2020,59707,"Town of Princeton, NJ","","United States of America","North America","No",31822,"","Yes","Intending to undertake in the next 2 years",4,91,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",2,"In progress","Yes","ICLEI","Stayed the same","Yes","Not intending to undertake","Base year emissions (absolute) target","In progress","Yes","In progress",NA,24.4,24.5,NA,0.7,47.5,0.3,2.6,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"No","No",100,"Not intending to undertake",40.3563,-74.6693,"USA"
"139",2020,17411,"Southend on Sea Borough Council","Southend-on-Sea","United Kingdom of Great Britain and Northern Ireland","Europe","Yes",182463,"","Yes","Yes",4,42,0,1,0,1,0,0,0,2,"No",4,"Yes","In progress","2006 IPCC Guidelines",NA,NA,NA,"Base year emissions (absolute) target","Yes","Yes","Intending to undertake in the next 2 years",1.83,0.2,49.47,0,0,0,0,48.5,0,0,0,"In progress",NA,NA,NA,NA,NA,"No","No",100,"Yes",51.1598,0.2652,"GBR"
"140",2020,54098,"City of Thunder Bay","Thunder Bay","Canada","North America","No",107909,"POINT (-89.2477 48.3809)","Yes","Yes",4,56,0,0,0,1,0,0,0,1,"No",2,"Yes","Intending to undertake in the next 2 years",NA,NA,NA,NA,"Base year emissions (absolute) target","In progress","Yes","Yes",1,0,29,0,23,34,0,0,1,12,36,"Not intending to undertake",3.9,1.2,1,89.7,4.2,"No","Yes",100,"Not intending to undertake",48.3809,-89.2477,"CAN"
"141",2020,50380,"Municipio de Bucaramanga","Bucaramanga","Colombia","Latin America","No",528269,"POINT (-73.1227 7.11034)","Yes","Yes",1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Yes","In progress",NA,NA,NA,NA,"No target","Yes","Yes","Yes",0,7,12,0,70,0,10,NA,0,0,70,NA,NA,NA,NA,NA,NA,"No","Do not know",80,"In progress",7.11034,-73.1227,"COL"
"142",2020,59538,"City of Mississauga","Mississauga","Canada","North America","No",721599,"POINT (43.589 -79.6441)","In progress","Yes",15,222,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",5,"Yes","Yes","GPC","Increased","Not intending to undertake","Intending to undertake in the next 2 years","Base year emissions (absolute) target","Yes","Yes","Yes",0.6,0,8.2,0,23.7,61,0,0,0.3,6.2,30.2,"Do not know",11,0,1,84,4,"No","Yes",100,"Not intending to undertake",43.6,-79.65,"CAN"
"143",2020,54652,"Prefeitura de Osasco","Osasco","Brazil","Latin America","No",676,"POINT (23.5328 46.7919)","Do not know","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Do not know","Not intending to undertake",NA,NA,NA,NA,"No target",NA,"Do not know","In progress",8,3,9,0,68,3,0,4,0,5,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.5411,-46.3689,"BRA"
"144",2020,36152,"Tallinn City Council","Tallinn","Estonia","Europe","Yes",445024,"POINT (24.7536 59.437)","In progress","In progress",5,16,0,1,0,0,0,1,0,2,"Yes",5,"In progress","Yes","2006 IPCC Guidelines","Do not know","Not intending to undertake","Do not know","Base year emissions (absolute) target","In progress","In progress","In progress",40,0,20,0,0,0,0,35,2,3,5,"In progress",NA,NA,NA,NA,NA,"No","Do not know",100,"Yes",59.437,24.7536,"EST"
"145",2020,36282,"Comune di Chieti","Chieti","Italy","Europe","No",52125,"POINT (14.1399 42.3828)","Intending to incorporate in the next 2 years","Intending to undertake in the next 2 years",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Intending to undertake in the next 2 years","Intending to undertake in the next 2 years",NA,NA,NA,NA,"No target",NA,"Not intending to undertake","Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",100,"Yes",42.3828,14.1399,"ITA"
"146",2020,31169,"Government of Hong Kong Special Administrative Region","Hong Kong","China, Hong Kong Special Administrative Region","East Asia","No",7507400,"POINT (114.14 22.2881)","Yes","Yes",5,49,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",8,"Yes","Yes","GPC","Increased","Not intending to undertake","Not intending to undertake","Base year intensity target","Yes","Yes","Do not know",0,44,29.1,0,0,26.6,0.3,0,0,0,0,"Yes",78,NA,22,NA,NA,"Yes","Yes",99.99,"Yes",22.2881,114.14,"HKG"
"147",2020,59669,"City of North Vancouver","North Vancouver","Canada","North America","No",52898,"POINT (-123.072 49.32)","Yes","Yes",14,115,0,0,0,2,1,1,0,4,"Yes",12,"Yes","Yes","Other","Stayed the same","Yes","Not intending to undertake","Base year emissions (absolute) target","Yes","Yes","Intending to undertake in the next 2 years",6,0,2,0,90,0,1,0,0,1,91,"Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,"No","No",100,"Not intending to undertake",49.32,-123.072,"CAN"
"148",2020,49330,"Kansas City","Kansas City","United States of America","North America","No",505198,"POINT (-94.573 39.1429)","Yes","Yes",2,36,0,1,0,0,0,0,0,1,"Yes",1,"Intending to undertake in the next 2 years","Yes","ICLEI","Decreased","Intending to undertake in the next 2 years","Yes","Fixed level target","Yes","Yes","Yes",0,40,26,0,0,7,0,0,6,21,27,"Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,"Yes","Do not know",100,"Intending to undertake in next 2 years",39.1429,-94.573,"USA"
"149",2020,49330,"Kansas City","Kansas City","United States of America","North America","No",505198,"POINT (-94.573 39.1429)","Yes","Yes",2,36,0,1,0,0,0,0,0,1,"Yes",1,"Intending to undertake in the next 2 years","Yes","ICLEI","Decreased","Intending to undertake in the next 2 years","Yes","Base year emissions (absolute) target","Yes","Yes","Yes",0,40,26,0,0,7,0,0,6,21,27,"Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,"Yes","Do not know",100,"Intending to undertake in next 2 years",39.1429,-94.573,"USA"
"150",2020,59166,"Municipalidad de Independencia","Independencia","Chile","Latin America","No",105794,"POINT (-68.8154 -32.8421)","Yes","Yes",7,54,1,1,0,0,0,0,0,2,"Yes",7,"Yes","Yes","Regional or country specific methodology","This is our first year of calculation","Do not know","Do not know","Base year emissions (absolute) target","Yes","Do not know","In progress",0,55,0,0,36,0,0,0,4,5,45,"Yes",26.2,15,17.8,17,41,"No","Yes",100,"Intending to undertake in next 2 years",-11.99691215,-77.0544879039708,"CHL"
"151",2020,54298,"Dalian Municipal People's Government","Dalian","China","East Asia","No",5952057,"POINT (121.567 38.9389)",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9389,121.567,"CHN"
"152",2020,50555,"City of Hamilton","Hamilton","Canada","North America","No",572575,"POINT (-79.8661 43.25)","Yes","In progress",15,176,0,1,0,0,1,0,0,2,"Yes",16,"In progress","Yes","GPC","Increased","Do not know","Intending to undertake in the next 2 years","Base year emissions (absolute) target","Yes","Yes","Not intending to undertake",0.5,0,6,0,25,61,0,0,0.5,7,32.5,"Yes",NA,NA,NA,NA,NA,"No","Yes",91.65,"Yes",43.25,-79.8661,"CAN"
"153",2020,53921,"City of Tempe, AZ","Tempe","United States of America","North America","No",192364,"POINT (-111.94 33.4255)","Yes","In progress",6,132,1,2,1,0,1,0,0,5,"Yes",14,"Yes","Yes","GPC","Do not know","Intending to undertake in the next 2 years","Do not know","Base year emissions (absolute) target","Yes","Yes","Yes",NA,40,25,NA,2,25,0,2,5,1,NA,"Not intending to undertake",3.9,6.3,31.3,30.4,28,"No","No",100,"In progress",33.4255,-111.94,"USA"
"154",2020,58671,"Helsingør Kommune / Elsinore Municipality","Helsingør","Denmark","Europe","No",62695,"POINT (12.5921 56.0308)","Yes","Yes",3,43,NA,NA,NA,NA,NA,NA,NA,NA,"No",6,"Yes","Yes","2006 IPCC Guidelines","Decreased","In progress","Yes","Base year emissions (absolute) target","Yes","Yes","Yes",5,27,29,0,0,31,1,0,1,6,7,"Yes",9,12,3,55,21,"No","Yes",100,"Yes",56.0308,12.5921,"DNK"
"155",2020,54409,"City of Espoo","Espoo","Finland","Europe","No",289731,"POINT (24.6559 60.2055)","Yes","Yes",4,19,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",4,"Yes","Yes","Regional or country specific methodology","Decreased","In progress","Yes","Base year emissions (absolute) target","Yes","Yes","Yes",18,8,6,0,19,35,0,5,0,9,28,"Yes",18,9,2,45,26,"No","Yes",100,"Yes",60.2055,24.6559,"FIN"
"156",2020,68378,"Municipalidad de Santiago de Surco","Santiago de Surco","Peru","Latin America","No",499210,"POINT (-77.0051 -12.1453)","Yes","In progress",2,35,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know",3,"Intending to undertake in the next 2 years","Intending to undertake in the next 2 years",NA,NA,NA,NA,"No target","Do not know","Yes","Do not know",NA,NA,20,NA,80,NA,NA,NA,NA,NA,NA,"Do not know",NA,NA,NA,NA,NA,"No","Do not know",99,"Intending to undertake in next 2 years",-12.1453,-77.0051,"PER"
"157",2020,848404,"Mongui","","Colombia","Latin America","Yes",4469,"","In progress","Not intending to undertake",1,16,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know",1,"In progress","Intending to undertake in the next 2 years",NA,NA,NA,NA,"Baseline scenario (business as usual) target","Do not know",NA,"Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know",NA,NA,NA,NA,NA,"Do not know","Do not know",NA,NA,9.23,-74.74,"COL"
"158",2020,60374,"Alcaldía de Ibagué","Ibagué","Colombia","Latin America","No",564077,"POINT (-75.24 4.44851)","Yes","Intending to undertake in the next 2 years",3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Yes","Intending to undertake in the next 2 years",NA,NA,NA,NA,"No target","Yes","Yes","Yes",NA,NA,NA,NA,99,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",93,"Yes",4.44851,-75.24,"COL"
"159",2020,31172,"Mexico City","Mexico City","Mexico","Latin America","No",9041395,"POINT (-99.1332 19.4326)","Yes","Yes",3,75,0,1,0,0,0,0,0,1,"Yes",3,"Yes","Yes","Other","Increased","Not intending to undertake","Intending to undertake in the next 2 years","Fixed level target","Yes","Yes","In progress",0,31,48,0,0,0,21,0,0,0,0,"Intending to undertake in the next 2 years",45,1,5,23,26,"No","Yes",98,"Yes",19.4326,-99.1332,"MEX"
"160",2020,43938,"The Executive Council, Govt of Dubai","Dubai","United Arab Emirates","Middle East","No",3335900,"POINT (55.2708 25.2048)","Yes","Yes",6,14,0,0,0,1,0,0,0,1,"No",6,"Yes","Yes","City specific methodology","Increased","Not intending to undertake","Not intending to undertake","Baseline scenario (business as usual) target","Yes","Yes","Yes",0,0,93.8,0,0,0,0,0,6.2,0,6.2,"Yes",13.6,0.8,10.2,62.9,12.5,"No","No",100,"In progress",25.2048,55.2708,"ARE"
"161",2020,50394,"Prefeitura Municipal de João Pessoa","João Pessoa","Brazil","Latin America","No",723515,"POINT (-34.8639 -7.16882)","Intending to incorporate in the next 2 years","Intending to undertake in the next 2 years",9,175,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know",1,"Do not know","Yes","GPC","This is our first year of calculation","Do not know","In progress","No target","Intending to undertake in the next 2 years","Do not know","Intending to undertake in the next 2 years",8.6988,2.2147,7.7441,0,60.8352,1.1855,5.8967,4.9546,0.7783,7.6921,69.3056,"Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,"No","Do not know",100,"Intending to undertake in next 2 years",-7.16882,-34.8639,"BRA"
"162",2020,58796,"Odder Kommune","Odder","Denmark","Europe","No",22624,"POINT (10.15 55.9757)","Yes","Yes",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Yes","Not intending to undertake",NA,NA,NA,NA,"Base year emissions (absolute) target","Yes","Not intending to undertake","Do not know",5,70,15,0,0,0,0,NA,NA,10,NA,"Do not know",NA,NA,NA,NA,NA,"No","No",100,"Not intending to undertake",55.9757,10.15,"DNK"
"163",2020,826211,"Junta Intermunicipal de Medio Ambiente Altos Sur (JIAS)","","Mexico","Latin America","Yes",399724000,"","Intending to incorporate in the next 2 years","Yes",3,56,0,0,0,0,0,2,0,2,"Yes",1,"In progress","Yes","2006 IPCC Guidelines","This is our first year of calculation","Do not know","Not intending to undertake","No target","Yes","Yes","Not intending to undertake",NA,0,12,NA,NA,NA,88,NA,NA,NA,NA,"Not intending to undertake",NA,NA,NA,NA,NA,"No","No",97,"Not intending to undertake",37.9850091,-103.5438321,"MEX"
"164",2020,44185,"Suwon City","Suwon","Republic of Korea","East Asia","No",1235093,"POINT (126.805 37.17)","Yes","Yes",1,16,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1,"Yes","Yes","GPC","Decreased","Not intending to undertake","Intending to undertake in the next 2 years","Base year emissions (absolute) target","Yes","Yes","Yes",0.99,45.4,16.9,NA,0.44,30.3,NA,4.74,0.94,0.29,NA,"Yes",NA,NA,NA,NA,NA,"No","Yes",100,"Yes",37.17,126.805,"KOR"
"165",2020,44185,"Suwon City","Suwon","Republic of Korea","East Asia","No",1235093,"POINT (126.805 37.17)","Yes","Yes",1,16,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1,"Yes","Yes","GPC","Decreased","Not intending to undertake","Intending to undertake in the next 2 years","Base year intensity target","Yes","Yes","Yes",0.99,45.4,16.9,NA,0.44,30.3,NA,4.74,0.94,0.29,NA,"Yes",NA,NA,NA,NA,NA,"No","Yes",100,"Yes",37.17,126.805,"KOR"
"166",2020,841964,"City of Hallandale Beach, FL","Hallandale Beach","United States of America","North America","Yes",37113,"POINT (-80.1484 25.9812)","In progress","Yes",10,122,0,1,0,0,1,0,0,2,"Yes",8,"Yes","Yes","GPC","This is our first year of calculation","Not intending to undertake","Not intending to undertake","Base year emissions (absolute) target","In progress","Yes","Intending to undertake in the next 2 years",0,5.34,70.04,0,0,17.13,0.38,7.05,0.06,0,0.06,"Yes",NA,NA,NA,NA,NA,"No","No",100,"Intending to undertake in next 2 years",25.9812,-80.1484,"USA"
"167",2020,31156,"Municipality of Curitiba","Curitiba","Brazil","Latin America","No",1893997,"POINT (-49.2647 -25.4311)","Yes","Yes",7,61,0,1,0,0,0,2,0,3,"Do not know",9,"In progress","Yes","GPC","Decreased","Do not know","Yes","No target","In progress","Yes","Intending to undertake in the next 2 years",8.2,4.1,10.5,NA,65.2,2.6,2.5,0,NA,6.9,NA,"Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,"No","Yes",100,"Intending to undertake in next 2 years",-25.4311,-49.2647,"BRA"
"168",2020,826238,"Alcaldia de Mosquera","Mosquera","Colombia","Latin America","No",86954,"POINT (-74.2302 4.70592)","In progress","Intending to undertake in the next 2 years",1,9,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1,"Intending to undertake in the next 2 years","Intending to undertake in the next 2 years",NA,NA,NA,NA,"Fixed level target","In progress","In progress","In progress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,"No","Yes",98,"In progress",4.70592,-74.2302,"COL"
"169",2020,35848,"Municipality of Belo Horizonte","Belo Horizonte","Brazil","Latin America","No",2513451,"POINT (-43.9345 -19.9167)","Yes","Yes",7,139,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",16,"In progress","Yes","GPC","Decreased","Not intending to undertake","Intending to undertake in the next 2 years","Base year emissions (absolute) target","Yes","Yes","Intending to undertake in the next 2 years",8.4,3.3,9.3,0,64.9,2.5,2,0,1,8.6,74.5,"Yes",27.8,0.4,5.1,30.1,36.6,"Do not know","Yes",96.3,"Yes",-19.9167,-43.9345,"BRA"
"170",2020,840036,"La Paz","","Argentina","Latin America","No",25808,"","Intending to incorporate in the next 2 years","Yes",5,48,NA,NA,NA,NA,NA,NA,NA,NA,"No",9,"Yes","Yes","GPC","Do not know","Not intending to undertake","Not intending to undertake","Baseline scenario (business as usual) target","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.4942,-68.1475,"ARG"
"171",2020,60268,"Prefeitura de Brumadinho","Brumadinho","Brazil","Latin America","No",33973,"POINT (-44.1982 -20.1427)","In progress","In progress",4,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Intending to undertake in the next 2 years","Intending to undertake in the next 2 years",NA,NA,NA,NA,"No target","Intending to undertake in the next 2 years","Yes","Yes",0,0,0,0,99,0,0,0,1,0,100,"Yes",30,30,10,60,20,"Yes","No",100,"Yes",-20.1427,-44.1982,"BRA"
"172",2020,43934,"City of Perth","Perth","Australia","Southeast Asia and Oceania","No",32233,"POINT (115.861 -31.9526)","Do not know","In progress",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1,"In progress","Yes","GPC","This is our first year of calculation","Not intending to undertake","Intending to undertake in the next 2 years","Baseline scenario (business as usual) target","Intending to undertake in the next 2 years","Yes","Yes",0.3,26.8,60.2,0,0.5,0,5.3,0,3,3.9,7.4,"Not intending to undertake",41,NA,NA,42,6,"No","No",100,"In progress",-31.9526,115.861,"AUS"
"173",2020,54111,"City of Iowa City","Iowa City","United States of America","North America","No",76290,"POINT (-91.5302 41.6611)","Yes","Yes",10,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Yes","Yes","GPC","Increased","Yes","Not intending to undertake","Base year emissions (absolute) target","Yes","Yes","Yes",0.2,45.3,2.1,0,0,13,0,0,0,39.4,39.4,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,41.6611,-91.5302,"USA"
"174",2020,54459,"City of Reykjavík","Reykjavík","Iceland","Europe","No",132080,"POINT (-21.8174 64.1265)","Yes","Yes",3,19,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know",5,"Yes","Yes","GPC","Increased","In progress","Intending to undertake in the next 2 years","Base year emissions (absolute) target","Yes","Yes","Yes",0,0,0,30,70,0,0,0,0,0,100,"Do not know",5,5,1,75,14,"No","Yes",99.9,"Not intending to undertake",64.1265,-21.8174,"ISL"
"175",2020,73671,"Godoy Cruz","","Argentina","Latin America","No",191903,"","Do not know","Yes",4,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Yes","Yes","GPC","This is our first year of calculation","Not intending to undertake","Not intending to undertake","Baseline scenario (business as usual) target","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.9167,-68.8333,"ARG"
"176",2020,55334,"Município de Braga","Braga","Portugal","Europe","No",189331,"POINT (-8.43821 41.5337)","Yes","Yes",7,87,0,0,0,1,0,0,0,1,"Yes",19,"Yes","Yes","GPC","Increased","Yes","In progress","Base year emissions (absolute) target","Yes","Yes","Yes",8,20,18,0,23,0,0,2,7,22,52,"Yes",13,1,2,66,18,"Yes","Yes",100,"In progress",41.5337,-8.43821,"PRT"
"177",2020,53860,"City of Wilmington, NC","Wilmington","United States of America","North America","No",119045,"","Yes","Yes",3,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Intending to undertake in the next 2 years","Intending to undertake in the next 2 years",NA,NA,NA,NA,"No target","Intending to undertake in the next 2 years","Intending to undertake in the next 2 years","In progress",2.8,19.1,34.6,0,2.3,37.8,0.6,0.2,2.2,0.4,4.9,"Yes",NA,NA,NA,NA,NA,"No","No",99,"Not intending to undertake",34.21,-77.8866,"USA"
"178",2020,54088,"City of Peterborough","Peterborough","Canada","North America","No",82094,"","Yes","Yes",5,74,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",8,"In progress","Yes","Other","Decreased","Not intending to undertake","In progress","Base year emissions (absolute) target","Yes","Do not know","Intending to undertake in the next 2 years",1,0,28,0,23,35,0,0,1,12,36,"Do not know",14,4,0,75,7,"No","Yes",99,"In progress",44.3,-78.3167,"CAN"
"179",2020,54327,"Semarang City Government","","Indonesia","Southeast Asia and Oceania","No",1674358,"","In progress","Yes",2,11,0,0,1,1,0,0,0,2,"Yes",1,"Yes","Yes","2006 IPCC Guidelines","Decreased","In progress","In progress","Baseline scenario (business as usual) target","Yes","Yes","In progress",NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"No","Yes",59.25,"In progress",-6.9667,110.4167,"IDN"
"180",2020,826209,"Aipromades Lago de Chapala","Chapala","Mexico","Latin America","No",601263,"POINT (-103.191 20.2962)","Yes","Yes",5,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Yes","Yes","2006 IPCC Guidelines",NA,NA,NA,NA,"In progress","Yes","In progress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",98,"Intending to undertake in next 2 years",20.2962,-103.191,"MEX"
"181",2020,840926,"Prefeitura de Serra Talhada","","Brazil","Latin America","No",86350,"","Yes","Intending to undertake in the next 2 years",4,95,0,0,1,1,0,0,0,2,"Yes",1,"Intending to undertake in the next 2 years","Yes","GPC","This is our first year of calculation","Intending to undertake in the next 2 years","In progress","No target","Intending to undertake in the next 2 years","Yes","Intending to undertake in the next 2 years",8.6,1.9,7.8,0,60.8,1.2,5.2,4.7,1.2,8.6,70.6,"Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,"No","Yes",100,"Intending to undertake in next 2 years",-12.25,-38.97,"BRA"
"182",2020,54078,"City of Hayward","Hayward","United States of America","North America","No",161456,"POINT (-122.081 37.6689)","Yes","Yes",5,81,0,1,0,0,0,0,0,1,"Do not know",3,"Yes","Yes","GPC","Decreased","Not intending to undertake","In progress","Base year emissions (absolute) target","Yes","Yes","Yes",4,0,20,5,21,27,0,2,13,8,47,"Not intending to undertake",6.9,0.36,1.2,89.4,2.2,"No","Yes",100,"Yes",37.6689,-122.081,"USA"
"183",2020,58513,"City of Medford","Medford","United States of America","North America","No",57765,"POINT (-122.876 42.3265)","Intending to incorporate in the next 2 years","Yes",12,182,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",15,"In progress","Yes","GPC","Increased","Not intending to undertake","Not intending to undertake","Base year emissions (absolute) target","Yes","Yes","Intending to undertake in the next 2 years",5.6,0.5,48.5,0,8.9,30.5,0.2,0.5,1.7,3.6,14.2,"Not intending to undertake",9.45,2.49,7.21,72.54,8.32,"No","No",100,"Not intending to undertake",42.3265,-122.876,"USA"
"184",2020,55325,"Município de Águeda","Águeda","Portugal","Europe","No",47729,"POINT (-8.44582 40.5753)","Yes","Yes",6,80,0,1,0,0,1,1,0,3,"Yes",12,"Yes","Yes","2006 IPCC Guidelines","Decreased","Do not know","Do not know","Base year emissions (absolute) target","Yes","Yes","Yes",0,9,6,0,15.9,3.3,0,25.3,0,40.5,56.4,"In progress",NA,NA,NA,NA,NA,"Yes","Do not know",100,"Yes",40.5753,-8.44582,"PRT"
"185",2020,35885,"Tel Aviv-Yafo Municipality","Tel Aviv-Yafo","Israel","Middle East","No",443940,"POINT (34.7823 32.0816)","Yes","Yes",7,86,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",19,"Yes","Yes","GPC","Increased","Intending to undertake in the next 2 years","Yes","No target","Intending to undertake in the next 2 years","Yes","Yes",NA,25,70,NA,NA,NA,NA,NA,4.3,0.7,NA,"In progress",17,11,0,56,16,"No","Do not know",100,"Yes",32.0816,34.7823,"ISR"
